"user_id";"date_joined";"country"
1998467;"2017-06-26";"IT"
1832021;"2017-06-01";"ES"
2001827;"2017-06-26";"IT"
1822720;"2017-05-30";"GB"
2002901;"2017-06-26";"IT"
1996153;"2017-06-26";"ES"
1643863;"2017-05-03";"IT"
1905017;"2017-06-12";"IT"
1991740;"2017-06-25";"IT"
1713646;"2017-05-15";"IT"
371969;"2016-09-07";"ES"
160058;"2016-05-29";"ES"
1978013;"2017-06-23";"IT"
1960522;"2017-06-20";"ES"
1667476;"2017-05-07";"IT"
1642987;"2017-05-03";"IT"
1949641;"2017-06-18";"IT"
1972635;"2017-06-22";"IT"
1786832;"2017-05-25";"IT"
2001720;"2017-06-26";"IT"
2006013;"2017-06-26";"IT"
1850117;"2017-06-04";"ES"
1865589;"2017-06-06";"ES"
1934029;"2017-06-16";"GB"
1867606;"2017-06-06";"IT"
650862;"2016-10-29";"ES"
1748548;"2017-05-21";"IT"
1947229;"2017-06-18";"IT"
1925863;"2017-06-15";"IT"
655447;"2016-10-30";"ES"
1995656;"2017-06-26";"ES"
1978397;"2017-06-23";"IT"
1392128;"2017-03-25";"ES"
1402357;"2017-03-26";"ES"
1627950;"2017-04-30";"IT"
708757;"2016-11-10";"IT"
1034026;"2017-01-25";"ES"
2004924;"2017-06-26";"GB"
1912822;"2017-06-13";"IT"
1893271;"2017-06-10";"IT"
744145;"2016-11-18";"IT"
1997472;"2017-06-26";"IT"
1651020;"2017-05-04";"ES"
1763845;"2017-05-22";"ES"
1640357;"2017-05-02";"ES"
1992233;"2017-06-25";"IT"
1754268;"2017-05-21";"ES"
1786190;"2017-05-25";"ES"
1953789;"2017-06-19";"ES"
1900770;"2017-06-11";"ES"
1302261;"2017-03-12";"ES"
1965680;"2017-06-21";"ES"
1946542;"2017-06-18";"ES"
1951016;"2017-06-19";"IT"
2010687;"2017-06-27";"ES"
1927574;"2017-06-15";"ES"
1299311;"2017-03-11";"ES"
1859023;"2017-06-05";"ES"
1772498;"2017-05-23";"ES"
1857436;"2017-06-05";"ES"
789206;"2016-11-27";"ES"
1996225;"2017-06-26";"ES"
